Model,Threshold,Accuracy,Precision,Recall,F1-Score,False Positive,False Negative
Logistic Regression,0.2,0.45401174168297453,0.07947019867549669,0.96,0.14678899082568808,556,2
Logistic Regression,0.25,0.5146771037181996,0.08082706766917293,0.86,0.14776632302405499,489,7
Logistic Regression,0.3,0.5704500978473581,0.09052631578947369,0.86,0.16380952380952382,432,7
Logistic Regression,0.35,0.6086105675146771,0.0967741935483871,0.84,0.17355371900826447,392,8
Logistic Regression,0.4,0.6526418786692759,0.10796915167095116,0.84,0.19134396355353075,347,8
Logistic Regression,0.45,0.7025440313111546,0.11976047904191617,0.8,0.20833333333333334,294,10
Logistic Regression,0.5,0.7407045009784736,0.13559322033898305,0.8,0.2318840579710145,255,10
Logistic Regression,0.55,0.7857142857142857,0.1606425702811245,0.8,0.26755852842809363,209,10
Logistic Regression,0.6,0.8199608610567515,0.18691588785046728,0.8,0.30303030303030304,174,10
Decision Tree,0.2,0.5636007827788649,0.0875,0.84,0.15849056603773584,438,8
Decision Tree,0.25,0.5636007827788649,0.0875,0.84,0.15849056603773584,438,8
Decision Tree,0.3,0.5802348336594912,0.09071274298056156,0.84,0.16374269005847952,421,8
Decision Tree,0.35,0.5802348336594912,0.09071274298056156,0.84,0.16374269005847952,421,8
Decision Tree,0.4,0.6526418786692759,0.10796915167095116,0.84,0.19134396355353075,347,8
Decision Tree,0.45,0.6526418786692759,0.10796915167095116,0.84,0.19134396355353075,347,8
Decision Tree,0.5,0.6526418786692759,0.10796915167095116,0.84,0.19134396355353075,347,8
Decision Tree,0.55,0.6526418786692759,0.10796915167095116,0.84,0.19134396355353075,347,8
Decision Tree,0.6,0.6575342465753424,0.109375,0.84,0.1935483870967742,342,8
